f8:f1:b6:69:4d:ca/2016-11-26 15:35:34.054553/-76
a4:70:d6:42:04:b1/2016-11-26 15:38:07.126206/-80
34:bb:26:b5:04:de/2016-11-26 15:37:42.099014/-80
00:0d:f0:a2:9f:11/2016-11-26 15:45:42.734919/-256
24:c6:96:88:f0:b7/2016-11-26 15:45:11.287938/-54
84:10:0d:ba:4f:83/2016-11-26 15:44:15.357172/-50
b8:5a:73:9f:88:9c/2016-11-26 15:43:05.422312/-74
6c:2f:2c:13:1e:82/2016-11-26 15:47:06.873097/-80
34:bb:26:b5:04:de/2016-11-26 15:45:24.024261/-78
00:0d:f0:a2:9f:11/2016-11-26 15:49:42.734896/-256
24:c6:96:88:f0:b7/2016-11-26 15:49:11.314733/-62
34:bb:26:b5:04:de/2016-11-26 15:51:10.172944/-78
6c:2f:2c:13:1e:82/2016-11-26 15:49:14.418092/-80
00:0d:f0:a2:9f:11/2016-11-26 15:53:42.738921/-256
24:c6:96:88:f0:b7/2016-11-26 15:54:13.133164/-50
5c:51:88:1d:76:f3/2016-11-26 15:54:41.823921/-80
6c:2f:2c:13:1e:82/2016-11-26 15:51:15.609484/-78
f8:f1:b6:69:4d:ca/2016-11-26 15:51:57.165154/-78
34:bb:26:b5:04:de/2016-11-26 15:53:41.080402/-80
00:0d:f0:a2:9f:11/2016-11-26 15:57:42.734790/-256
5c:51:88:1d:76:f3/2016-11-26 15:54:41.831960/-80
84:10:0d:ba:4f:83/2016-11-26 15:58:27.245484/-50
24:c6:96:88:f0:b7/2016-11-26 15:57:37.615112/-52
f8:f1:b6:69:4d:ca/2016-11-26 15:54:58.241759/-76
34:bb:26:b5:04:de/2016-11-26 15:57:42.358548/-82
00:0d:f0:a2:9f:11/2016-11-26 16:01:42.734922/-256
24:c6:96:88:f0:b7/2016-11-26 16:01:37.740629/-62
88:c9:d0:a2:35:ae/2016-11-26 15:59:55.812149/-88
84:10:0d:ba:4f:83/2016-11-26 16:00:58.242315/-80
5c:51:88:1d:76:f3/2016-11-26 16:00:55.553969/-72
b0:9f:ba:31:69:11/2016-11-26 16:02:01.194894/-76
f8:f1:b6:69:4d:ca/2016-11-26 16:01:00.232582/-74
34:bb:26:b5:04:de/2016-11-26 16:00:50.800298/-80
